"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"no","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","percentage","4.92","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","counts","116","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_11_Are_fresh_food_containers_free_from_impurities_such_as_animal_feces","percentage","95.08","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","counts","6","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","percentage","4.92","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","counts","116","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","percentage","95.08","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","counts","1","Quality checks","Overall","RQ3 select yes","count and percentage"
"no","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","percentage","0.33","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","counts","300","Quality checks","Overall","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","percentage","99.67","Quality checks","Overall","RQ3 select yes","count and percentage"
